Table S13. Domain architectures of high-confidence lysins identified in the GCSV.,,,,,,,,,,,
vPC_id,Sequence.length,Analysis,Signature.accession,Signature.description,Start.location,Stop.location,E-value,InterPro.annotations-accession,InterPro.annotations.-description,GO.annotation,Pathways.annotations
P_10_k141_1578967_length_122936_cov_18.1524_104,138,Pfam,PF01832,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,34,134,0.0000024,IPR002901,Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase-like domain,GO:0004040(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862
P_10_k141_1928756_length_14059_cov_32.0000_13,165,Pfam,PF01464,Transglycosylase SLT domain,35,147,9.5E-16,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P_10_k141_2533704_length_62227_cov_25.3684_19,219,Pfam,PF05838,Glycosyl hydrolase 108,9,93,3.9E-21,IPR008565,"TtsA-like, Glycoside hydrolase family 108 domain",-,-
P_10_k141_2588208_length_23932_cov_25.0011_35,171,Pfam,PF01464,Transglycosylase SLT domain,23,72,0.0000017,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P_10_k141_2667520_length_80710_cov_36.9821_19,197,Pfam,PF01551,Peptidase family M23,45,152,1.5E-14,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P_10_k141_471526_length_25994_cov_18.0000_17,2048,Pfam,PF01464,Transglycosylase SLT domain,30,128,5.9E-24,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P_20_k141_1317957_length_13375_cov_31.0233_14,132,Pfam,PF00877,NlpC/P60 family,10,124,0.000000039,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
P_20_k141_2246451_length_183147_cov_32.3132_23,174,Pfam,PF00877,NlpC/P60 family,63,161,1.7E-11,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
P_20_k141_2448795_length_43851_cov_14.2774_50,182,Pfam,PF13539,D-alanyl-D-alanine carboxypeptidase,97,154,0.000000039,IPR039561,Peptidase M15C,GO:0008233(InterPro),MetaCyc:PWY-8119
P_20_k141_254681_length_6884_cov_38.7544_1,167,Pfam,PF00959,Phage lysozyme,26,145,0.0000019,IPR002196,"Glycoside hydrolase, family 24",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
P_20_k141_2597390_length_18791_cov_15.0000_18,203,Pfam,PF00959,Phage lysozyme,73,188,0.00000021,IPR002196,"Glycoside hydrolase, family 24",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
P_20_k141_2944725_length_23804_cov_13.0000_35,180,Pfam,PF05838,Glycosyl hydrolase 108,11,87,1.5E-20,IPR008565,"TtsA-like, Glycoside hydrolase family 108 domain",-,-
P_20_k141_413816_length_13127_cov_48.1286_3,363,Pfam,PF01471,Putative peptidoglycan binding domain,204,261,7.1E-10,IPR002477,Peptidoglycan binding-like,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6470|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-7884|MetaCyc:PWY-8119|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-1433557|Reactome:R-BTA-1442490|Reactome:R-BTA-1474228|Reactome:R-BTA-1592389|Reactome:R-BTA-3928665|Reactome:R-BTA-6798695|Reactome:R-BTA-9009391|Reactome:R-CEL-1442490|Reactome:R-CEL-1474228|Reactome:R-CEL-1592389|Reactome:R-CEL-210991|Reactome:R-CEL-2168880|Reactome:R-CEL-2179392|Reactome:R-CEL-3928665|Reactome:R-CEL-6798695|Reactome:R-CFA-1442490|Reactome:R-CFA-1474228|Reactome:R-CFA-1592389|Reactome:R-CFA-2179392|Reactome:R-CFA-9009391|Reactome:R-GGA-1442490|Reactome:R-GGA-1474228|Reactome:R-GGA-1592389|Reactome:R-GGA-3928665|Reactome:R-GGA-9009391|Reactome:R-HSA-1442490|Reactome:R-HSA-1474228|Reactome:R-HSA-1592389|Reactome:R-HSA-2022090|Reactome:R-HSA-210991|Reactome:R-HSA-2179392|Reactome:R-HSA-381426|Reactome:R-HSA-6785807|Reactome:R-HSA-6798695|Reactome:R-HSA-8941332|Reactome:R-HSA-9009391|Reactome:R-HSA-9839383|Reactome:R-HSA-9856530|Reactome:R-MMU-1442490|Reactome:R-MMU-1474228|Reactome:R-MMU-1592389|Reactome:R-MMU-2022090|Reactome:R-MMU-210991|Reactome:R-MMU-2179392|Reactome:R-MMU-6798695|Reactome:R-MMU-9009391|Reactome:R-MMU-9839383|Reactome:R-RNO-1442490|Reactome:R-RNO-1474228|Reactome:R-RNO-1592389|Reactome:R-RNO-2022090|Reactome:R-RNO-2179392|Reactome:R-RNO-6798695|Reactome:R-RNO-9009391|Reactome:R-RNO-9839383|Reactome:R-SSC-1442490|Reactome:R-SSC-1474228|Reactome:R-SSC-1592389|Reactome:R-SSC-2022090|Reactome:R-SSC-210991
P_30_k141_1235732_length_12635_cov_11.0000_22,140,Pfam,PF07486,Cell Wall Hydrolase,32,135,1.3E-23,IPR011105,"Cell wall hydrolase, SleB",GO:0016787(InterPro),-
P_30_k141_1519213_length_37774_cov_18.8419_37,131,Pfam,PF01471,Putative peptidoglycan binding domain,9,66,7.6E-14,IPR002477,Peptidoglycan binding-like,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6470|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-7884|MetaCyc:PWY-8119|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-1433557|Reactome:R-BTA-1442490|Reactome:R-BTA-1474228|Reactome:R-BTA-1592389|Reactome:R-BTA-3928665|Reactome:R-BTA-6798695|Reactome:R-BTA-9009391|Reactome:R-CEL-1442490|Reactome:R-CEL-1474228|Reactome:R-CEL-1592389|Reactome:R-CEL-210991|Reactome:R-CEL-2168880|Reactome:R-CEL-2179392|Reactome:R-CEL-3928665|Reactome:R-CEL-6798695|Reactome:R-CFA-1442490|Reactome:R-CFA-1474228|Reactome:R-CFA-1592389|Reactome:R-CFA-2179392|Reactome:R-CFA-9009391|Reactome:R-GGA-1442490|Reactome:R-GGA-1474228|Reactome:R-GGA-1592389|Reactome:R-GGA-3928665|Reactome:R-GGA-9009391|Reactome:R-HSA-1442490|Reactome:R-HSA-1474228|Reactome:R-HSA-1592389|Reactome:R-HSA-2022090|Reactome:R-HSA-210991|Reactome:R-HSA-2179392|Reactome:R-HSA-381426|Reactome:R-HSA-6785807|Reactome:R-HSA-6798695|Reactome:R-HSA-8941332|Reactome:R-HSA-9009391|Reactome:R-HSA-9839383|Reactome:R-HSA-9856530|Reactome:R-MMU-1442490|Reactome:R-MMU-1474228|Reactome:R-MMU-1592389|Reactome:R-MMU-2022090|Reactome:R-MMU-210991|Reactome:R-MMU-2179392|Reactome:R-MMU-6798695|Reactome:R-MMU-9009391|Reactome:R-MMU-9839383|Reactome:R-RNO-1442490|Reactome:R-RNO-1474228|Reactome:R-RNO-1592389|Reactome:R-RNO-2022090|Reactome:R-RNO-2179392|Reactome:R-RNO-6798695|Reactome:R-RNO-9009391|Reactome:R-RNO-9839383|Reactome:R-SSC-1442490|Reactome:R-SSC-1474228|Reactome:R-SSC-1592389|Reactome:R-SSC-2022090|Reactome:R-SSC-210991
P_30_k141_1563196_length_45056_cov_66.0000_29,241,Pfam,PF00877,NlpC/P60 family,122,222,0.00000042,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
P_30_k141_1708429_length_56755_cov_12.0000_1_12,202,Pfam,PF05838,Glycosyl hydrolase 108,13,109,2.2E-16,IPR008565,"TtsA-like, Glycoside hydrolase family 108 domain",-,-
P_30_k141_1739336_length_30028_cov_15.9827_24,1523,Pfam,PF01464,Transglycosylase SLT domain,20,120,3.1E-12,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P_30_k141_419807_length_37399_cov_118.0032_35,123,Pfam,PF07486,Cell Wall Hydrolase,18,121,2.4E-09,IPR011105,"Cell wall hydrolase, SleB",GO:0016787(InterPro),-
P_30_k141_479632_length_15998_cov_14.0000_5,121,Pfam,PF08291,Peptidase M15,9,111,2E-18,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P_30_k141_487288_length_159542_cov_29.3698_203,397,Pfam,PF01551,Peptidase family M23,208,308,2.7E-23,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P_30_k141_487288_length_159542_cov_29.3698_238,243,Pfam,PF13529,Peptidase_C39 like family,6,163,0.0000017,IPR039564,Peptidase C39-like,-,-
P_30_k141_59138_length_11852_cov_8.0000_7,152,Pfam,PF07486,Cell Wall Hydrolase,26,147,4.3E-12,IPR011105,"Cell wall hydrolase, SleB",GO:0016787(InterPro),-
P_30_k141_787682_length_8839_cov_11.0000_7,181,Pfam,PF07486,Cell Wall Hydrolase,60,178,6.4E-18,IPR011105,"Cell wall hydrolase, SleB",GO:0016787(InterPro),-
P_30_k141_867409_length_188944_cov_29.0000_17,1944,Pfam,PF00959,Phage lysozyme,1639,1760,6.5E-10,IPR002196,"Glycoside hydrolase, family 24",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
P1_k141_125528_length_19070_cov_9.0000_9,125,Pfam,PF08291,Peptidase M15,7,107,2.5E-11,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P1_k141_1345378_length_23058_cov_15.6888_47,204,Pfam,PF05838,Glycosyl hydrolase 108,60,159,2.3E-16,IPR008565,"TtsA-like, Glycoside hydrolase family 108 domain",-,-
P1_k141_1517284_length_75332_cov_12.3493_3,204,Pfam,PF08291,Peptidase M15,10,97,0.000000055,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P1_k141_1537893_length_6466_cov_8.0000_5,176,Pfam,PF01464,Transglycosylase SLT domain,48,139,3.7E-17,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P1_k141_1901775_length_16080_cov_10.5725_22,160,Pfam,PF08291,Peptidase M15,10,46,0.000000018,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P1_k141_1901775_length_16080_cov_10.5725_7,279,Pfam,PF01471,Putative peptidoglycan binding domain,11,65,5E-14,IPR002477,Peptidoglycan binding-like,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6470|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-7884|MetaCyc:PWY-8119|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-1433557|Reactome:R-BTA-1442490|Reactome:R-BTA-1474228|Reactome:R-BTA-1592389|Reactome:R-BTA-3928665|Reactome:R-BTA-6798695|Reactome:R-BTA-9009391|Reactome:R-CEL-1442490|Reactome:R-CEL-1474228|Reactome:R-CEL-1592389|Reactome:R-CEL-210991|Reactome:R-CEL-2168880|Reactome:R-CEL-2179392|Reactome:R-CEL-3928665|Reactome:R-CEL-6798695|Reactome:R-CFA-1442490|Reactome:R-CFA-1474228|Reactome:R-CFA-1592389|Reactome:R-CFA-2179392|Reactome:R-CFA-9009391|Reactome:R-GGA-1442490|Reactome:R-GGA-1474228|Reactome:R-GGA-1592389|Reactome:R-GGA-3928665|Reactome:R-GGA-9009391|Reactome:R-HSA-1442490|Reactome:R-HSA-1474228|Reactome:R-HSA-1592389|Reactome:R-HSA-2022090|Reactome:R-HSA-210991|Reactome:R-HSA-2179392|Reactome:R-HSA-381426|Reactome:R-HSA-6785807|Reactome:R-HSA-6798695|Reactome:R-HSA-8941332|Reactome:R-HSA-9009391|Reactome:R-HSA-9839383|Reactome:R-HSA-9856530|Reactome:R-MMU-1442490|Reactome:R-MMU-1474228|Reactome:R-MMU-1592389|Reactome:R-MMU-2022090|Reactome:R-MMU-210991|Reactome:R-MMU-2179392|Reactome:R-MMU-6798695|Reactome:R-MMU-9009391|Reactome:R-MMU-9839383|Reactome:R-RNO-1442490|Reactome:R-RNO-1474228|Reactome:R-RNO-1592389|Reactome:R-RNO-2022090|Reactome:R-RNO-2179392|Reactome:R-RNO-6798695|Reactome:R-RNO-9009391|Reactome:R-RNO-9839383|Reactome:R-SSC-1442490|Reactome:R-SSC-1474228|Reactome:R-SSC-1592389|Reactome:R-SSC-2022090|Reactome:R-SSC-210991
P1_k141_201777_length_41089_cov_54.2415_36,160,Pfam,PF00959,Phage lysozyme,16,134,2.3E-10,IPR002196,"Glycoside hydrolase, family 24",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
P1_k141_2402325_length_5439_cov_6.0000_4,246,Pfam,PF11860,N-acetylmuramidase,26,198,3.4E-37,IPR024408,N-acetylmuramidase,-,-
P1_k141_4224552_length_146852_cov_18.3551_31,279,Pfam,PF01183,Glycosyl hydrolases family 25,77,262,5.9E-30,IPR002053,"Glycoside hydrolase, family 25",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
P1_k141_4290923_length_37596_cov_47.0000_47,126,Pfam,PF08291,Peptidase M15,26,110,1.5E-09,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P1_k141_5666758_length_28774_cov_7.0000_16,182,Pfam,PF01551,Peptidase family M23,76,156,1.1E-10,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P1_k141_596742_length_11481_cov_7.0000_12,491,Pfam,PF01464,Transglycosylase SLT domain,24,116,9.5E-10,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P10_k141_1025431_length_9642_cov_9.0000_8,266,Pfam,PF01183,Glycosyl hydrolases family 25,17,174,9.8E-12,IPR002053,"Glycoside hydrolase, family 25",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
P10_k141_1189145_length_84215_cov_12.0000_17,178,Pfam,PF01464,Transglycosylase SLT domain,67,157,6E-15,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P10_k141_1393019_length_20637_cov_31.7836_19,246,Pfam,PF01551,Peptidase family M23,39,120,0.00000025,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P10_k141_1394974_length_5799_cov_10.0000_15,196,Pfam,PF01464,Transglycosylase SLT domain,41,144,4.5E-21,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P10_k141_1515757_length_73719_cov_113.0000_33,137,Pfam,PF08291,Peptidase M15,10,87,0.000000052,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P10_k141_1552644_length_6957_cov_9.0000_6,168,Pfam,PF00877,NlpC/P60 family,38,160,1.6E-09,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
P10_k141_1883289_length_65810_cov_14.0000_88,265,Pfam,PF11860,N-acetylmuramidase,91,263,1.5E-50,IPR024408,N-acetylmuramidase,-,-
P10_k141_1990665_length_43727_cov_35.0000_45,278,Pfam,PF01183,Glycosyl hydrolases family 25,5,194,5E-22,IPR002053,"Glycoside hydrolase, family 25",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
P10_k141_2108735_length_72895_cov_22.0024_98,1681,Pfam,PF01551,Peptidase family M23,149,241,9.2E-15,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P10_k141_2112219_length_43141_cov_58.8323_67,279,Pfam,PF01183,Glycosyl hydrolases family 25,4,189,7.7E-18,IPR002053,"Glycoside hydrolase, family 25",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
P10_k141_2304152_length_15251_cov_14.0000_27,241,Pfam,PF01510,N-acetylmuramoyl-L-alanine amidase,51,142,0.00000015,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
P10_k141_255911_length_13674_cov_14.2571_28,132,Pfam,PF08291,Peptidase M15,3,114,1.6E-09,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P10_k141_2642328_length_11714_cov_15.8395_1_2,1359,Pfam,PF01464,Transglycosylase SLT domain,1144,1238,6.4E-15,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P10_k141_2945608_length_45619_cov_11.0214_64,157,Pfam,PF07486,Cell Wall Hydrolase,47,154,0.00000029,IPR011105,"Cell wall hydrolase, SleB",GO:0016787(InterPro),-
P10_k141_327560_length_6981_cov_9.9833_12,436,Pfam,PF01551,Peptidase family M23,77,171,2.6E-13,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P10_k141_3481009_length_37197_cov_99.7027_7,442,Pfam,PF01551,Peptidase family M23,113,188,0.000000002,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P10_k141_3839835_length_13120_cov_11.0000_9,237,Pfam,PF01464,Transglycosylase SLT domain,106,179,2.1E-10,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P10_k141_3866994_length_12725_cov_18.0000_13,365,Pfam,PF01551,Peptidase family M23,263,357,3.5E-18,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P10_k141_3910596_length_23114_cov_15.0000_45,500,Pfam,PF01551,Peptidase family M23,32,121,2.7E-17,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P10_k141_3934259_length_32781_cov_27.9810_4,156,Pfam,PF01832,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,38,147,2.2E-10,IPR002901,Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase-like domain,GO:0004040(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862
P10_k141_625638_length_51717_cov_9.0000_39,125,Pfam,PF08291,Peptidase M15,18,116,0.0000054,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
P10_k141_739140_length_8201_cov_12.0000_2,326,Pfam,PF01471,Putative peptidoglycan binding domain,258,319,0.00000016,IPR002477,Peptidoglycan binding-like,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6470|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-7884|MetaCyc:PWY-8119|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-1433557|Reactome:R-BTA-1442490|Reactome:R-BTA-1474228|Reactome:R-BTA-1592389|Reactome:R-BTA-3928665|Reactome:R-BTA-6798695|Reactome:R-BTA-9009391|Reactome:R-CEL-1442490|Reactome:R-CEL-1474228|Reactome:R-CEL-1592389|Reactome:R-CEL-210991|Reactome:R-CEL-2168880|Reactome:R-CEL-2179392|Reactome:R-CEL-3928665|Reactome:R-CEL-6798695|Reactome:R-CFA-1442490|Reactome:R-CFA-1474228|Reactome:R-CFA-1592389|Reactome:R-CFA-2179392|Reactome:R-CFA-9009391|Reactome:R-GGA-1442490|Reactome:R-GGA-1474228|Reactome:R-GGA-1592389|Reactome:R-GGA-3928665|Reactome:R-GGA-9009391|Reactome:R-HSA-1442490|Reactome:R-HSA-1474228|Reactome:R-HSA-1592389|Reactome:R-HSA-2022090|Reactome:R-HSA-210991|Reactome:R-HSA-2179392|Reactome:R-HSA-381426|Reactome:R-HSA-6785807|Reactome:R-HSA-6798695|Reactome:R-HSA-8941332|Reactome:R-HSA-9009391|Reactome:R-HSA-9839383|Reactome:R-HSA-9856530|Reactome:R-MMU-1442490|Reactome:R-MMU-1474228|Reactome:R-MMU-1592389|Reactome:R-MMU-2022090|Reactome:R-MMU-210991|Reactome:R-MMU-2179392|Reactome:R-MMU-6798695|Reactome:R-MMU-9009391|Reactome:R-MMU-9839383|Reactome:R-RNO-1442490|Reactome:R-RNO-1474228|Reactome:R-RNO-1592389|Reactome:R-RNO-2022090|Reactome:R-RNO-2179392|Reactome:R-RNO-6798695|Reactome:R-RNO-9009391|Reactome:R-RNO-9839383|Reactome:R-SSC-1442490|Reactome:R-SSC-1474228|Reactome:R-SSC-1592389|Reactome:R-SSC-2022090|Reactome:R-SSC-210991
P10_k141_824024_length_13556_cov_12.3840_5,222,Pfam,PF01551,Peptidase family M23,26,117,4.7E-22,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
P11_k141_1129041_length_7188_cov_8.0000_4,361,Pfam,PF01551,Peptidase family M23,263,357,6.2E-21,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
